"","occurrence_no","record_type","reid_no","collection_no","taxon_name","taxon_rank","taxon_no","matched_name","matched_rank","matched_no","early_interval","early_age","late_age","reference_no","lng","lat","genus","genus_no","family","family_no","order","order_no","class","class_no","phylum","phylum_no","genus_name","species_name","species_reso","genus_reso","late_interval"
"1:183",590175,"occurrence",22050,62315,"Tyrannosauridae indet.","family",38606,"Tyrannosauridae","family",38606,"Campanian",83.6,72.1,"18013;18013",-108.496094,31.90659,NA,NA,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Tyrannosauridae","indet.",NA,NA,NA
"1:184",602436,"occurrence",NA,64104,"Tyrannosauridae indet.","family",38606,"Tyrannosauridae","family",38606,"Early Santonian",85.8,83.5,"16510;16510",73.486946,40.895832,NA,NA,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Tyrannosauridae","indet.",NA,NA,NA
"1:185",602724,"occurrence",28334,53140,"Tyrannosaurinae indet.","subfamily",65352,"Tyrannosaurinae","subfamily",65352,"Santonian",86.3,70.6,"45996;45996",77.792511,44.19101,NA,NA,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Tyrannosaurinae","indet.",NA,NA,"Early Campanian"
"1:186",602793,"occurrence",NA,64144,"Shanshanosaurus n. gen. huoyanshanensis n. sp.","species",54551,"Tarbosaurus bataar","species",57254,"Campanian",83.6,66,"9258;9258",89.85601,42.821259,"Tarbosaurus",53224,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Shanshanosaurus","huoyanshanensis","n. sp.","n. gen.","Maastrichtian"
"1:187",606324,"occurrence",NA,64688,"Tyrannosauridae indet.","family",38606,"Tyrannosauridae","family",38606,"Santonian",86.3,70.6,"16510;16510",63.866699,46.574272,NA,NA,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Tyrannosauridae","indet.",NA,NA,"Early Campanian"
"1:188",613062,"occurrence",NA,65827,"Tyrannosauridae indet.","family",38606,"Tyrannosauridae","family",38606,"Late Campanian",83.5,70.6,"18896;18896",-111.524582,50.727234,NA,NA,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Tyrannosauridae","indet.",NA,NA,NA
"1:189",613686,"occurrence",NA,65904,"Tyrannosauridae indet.","family",38606,"Tyrannosauridae","family",38606,"Late Campanian",83.5,70.6,"18896;18896",-111.435402,50.763401,NA,NA,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Tyrannosauridae","indet.",NA,NA,NA
"1:190",621183,"occurrence",NA,66908,"Albertosaurus ? sp.","genus",38607,"Albertosaurus","genus",38607,"Campanian",83.6,72.1,"19041;19041",-107.036942,38.8325,"Albertosaurus",38607,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Albertosaurus","sp.",NA,"?",NA
"1:191",632178,"occurrence",NA,68001,"Tyrannosauridae indet.","family",38606,"Tyrannosauridae","family",38606,"Late Campanian",83.5,70.6,"19433;19433",-103.169876,29.104792,NA,NA,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Tyrannosauridae","indet.",NA,NA,NA
"1:192",632181,"occurrence",18752,68002,"Tyrannosauridae indet.","family",38606,"Tyrannosauridae","family",38606,"Late Campanian",83.5,70.6,"19433;19433",-103.169876,29.104792,NA,NA,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Tyrannosauridae","indet.",NA,NA,NA
