"","occurrence_no","record_type","collection_no","taxon_name","taxon_rank","taxon_no","matched_name","matched_rank","matched_no","early_interval","early_age","late_age","reference_no","lng","lat","family","family_no","order","order_no","class","class_no","phylum","phylum_no","genus_name","species_name","genus","genus_no","reid_no","genus_reso","late_interval","species_reso"
"1:690",1247789,"occurrence",127659,"Dromaeosauridae indet.","family",38561,"Dromaeosauridae","family",38561,"Early Cretaceous",145,100.5,"42291;42291",111.163055,45.076389,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Dromaeosauridae","indet.",NA,NA,NA,NA,NA,NA
"1:691",1254837,"occurrence",166210,"Dromaeosauridae indet.","family",38561,"Dromaeosauridae","family",38561,"Late Barremian",130,113,"37922;37922",136.550003,36.116669,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Dromaeosauridae","indet.",NA,NA,30832,NA,"Aptian",NA
"1:692",1259982,"occurrence",167421,"Dromaeosauridae indet.","family",38561,"Dromaeosauridae","family",38561,"Early Campanian",83.5,70.6,"25625;25625",-110.930191,38.067699,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Dromaeosauridae","indet.",NA,NA,NA,NA,NA,NA
"1:693",1263351,"occurrence",59090,"Dromaeosauridae indet.","family",38561,"Dromaeosauridae","family",38561,"Late Maastrichtian",70.6,66,"17647;17647",0.883333,41.866669,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Dromaeosauridae","indet.",NA,NA,NA,NA,NA,NA
"1:694",1263396,"occurrence",167800,"Dromaeosauridae indet.","family",38561,"Dromaeosauridae","family",38561,"Middle Campanian",83.5,70.6,"54849;54849",-108.001099,46.760025,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Dromaeosauridae","indet.",NA,NA,NA,NA,"Late Campanian",NA
"1:695",1263404,"occurrence",167801,"Dromaeosauridae indet.","family",38561,"Dromaeosauridae","family",38561,"Middle Campanian",83.5,70.6,"54849;54849",-108.001099,46.760025,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Dromaeosauridae","indet.",NA,NA,NA,NA,"Late Campanian",NA
"1:696",1264561,"occurrence",167986,"Dromaeosauridae indet.","family",38561,"Dromaeosauridae","family",38561,"Middle Campanian",83.5,70.6,"54972;54972",-111.463272,50.741028,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Dromaeosauridae","indet.",NA,NA,NA,NA,"Late Campanian",NA
"1:697",1266185,"occurrence",127662,"Dromaeosauridae indet.","family",38561,"Dromaeosauridae","family",38561,"Cenomanian",100.5,83.6,"42289;42289",109.858887,44.34,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Dromaeosauridae","indet.",NA,NA,NA,NA,"Santonian",NA
"1:698",1269303,"occurrence",58166,"Itemirus medullaris","species",66622,"Itemirus medullaris","species",66622,"Middle Turonian",93.5,89.3,"53745;53745",62.655315,42.117294,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Itemirus","medullaris","Itemirus",38626,NA,NA,"Late Turonian",NA
"1:699",1269304,"occurrence",140570,"Itemirus medullaris","species",66622,"Itemirus medullaris","species",66622,"Middle Turonian",93.5,89.3,"53745;53745",62.655315,42.117294,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Itemirus","medullaris","Itemirus",38626,NA,NA,"Late Turonian",NA
"1:700",1269305,"occurrence",58168,"Itemirus medullaris","species",66622,"Itemirus medullaris","species",66622,"Middle Turonian",93.5,89.3,"53745;53745",62.655315,42.117294,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Itemirus","medullaris","Itemirus",38626,NA,NA,"Late Turonian",NA
"1:701",1269306,"occurrence",46959,"Itemirus medullaris","species",66622,"Itemirus medullaris","species",66622,"Middle Turonian",93.5,89.3,"53745;53745",62.655315,42.117294,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Itemirus","medullaris","Itemirus",38626,NA,NA,"Late Turonian",NA
